case_num,notes,cancer,med,organization,quantity,body part,gender,breed,condition
SL22-000616,Patient was diagnosed with two hepatocellular carcinomas with adhesions noted on the diaphragm.\r\n  Two well-differentiated hepatocellular carcinomas with adhesions noted on the diaphragm\r\n  Female\r\n  Miniature Schnauzer\r\n  Canine\r\n  Spayed,"['hepatocellular carcinomas', 'hepatocellular carcinomas']",,,['two'],,,,"['adhesions', 'adhesions']"
S22-004322,"retroperitoneal mass, inappetence for  3 days.\r\n  Retroperitoneal mass-effect on AUS. R/O neoplasia, benign mass, hemorrhage, other Anemia.\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed\r\n \r\n Sample_1 LeftOrRight : Right\r\n Sample_1 SampleType : Excisional (removal or debulking of the lesion)\r\n Sample_1 LocationSizeAppearance : Adrenal Mass\r\n Sample_1 NumberOfSpecimens : 1\r\n Sample_2 LeftOrRight : Right\r\n Sample_2 SampleType : Excisional (removal or debulking of the lesion)\r\n Sample_2 LocationSizeAppearance : retroperitoneal mass, inappetence for  3 days.\r\n Sample_2 NumberOfSpecimens : 1","['neoplasia', 'benign mass']",,,"['Sample_1', 'NumberOfSpecimens', '1']",,,,"['retroperitoneal mass', 'inappetence', 'hemorrhage', 'retroperitoneal mass', 'inappetence']"
SL22-000658,TRAUMATIC CATHERIZATION YIELDED CLUMPS AND TISSUE\r\n  BRAF +VE UROTHELIAL CARCINOMA\r\n  Male\r\n  Beagle\r\n  Canine\r\n  Neutered,,['BRAF'],,,,,,
SL23-000001,-Hepatopathy and severe jaundice\r\n  -Metastatic carcinoma - liver and portal lymph nodes - r/o metastatic hepatocellular carcinoma vs. intestinal adenocarcinoma vs. pancreatic carcinoma vs. unknown primary - 12/27/22; -Hepatopathy and severe jaundice\r\n  Male\r\n  Australian Shepherd\r\n  Canine\r\n  Neutered,"['hepatocellular carcinoma', 'intestinal adenocarcinoma', 'pancreatic carcinoma', 'unknown primary']",,,,,,,['Neutered']
SL23-000020,Bronchioalveolar carcinoma excised with R caudal lung lobectomy 10/2021; new pulmonary mass detected 8/26/22\r\n  Suspect metastatic bronchioalveolar carcinoma; also concurrent hepatocellular carcinoma\r\n  Female\r\n  Doberman Pinscher\r\n  Canine\r\n  Spayed,"['Bronchioalveolar carcinoma', 'bronchioalveolar carcinoma']",,,,,['Spayed'],,['pulmonary mass']
SL23-000031,"Round cell tumor of the gastric wall with a large suspected mesenteric lymph node and an enlarged inguinal lymph node. Responsive to Lspar, pred, and vinc so far\r\n  Round cell cancer, unknown diagnosis, suspect lymphoma\r\n  Female\r\n  Bluetick Coonhound\r\n  Canine\r\n  Spayed","['Round cell tumor', 'Round cell cancer']","['Lspar', 'pred', 'vinc']",,,,['Spayed'],,
SL23-000033,"Partial scapulectomy to remove tumor approx 2 weeks after presence was noted.  Calcium deposits noted in tumor on xray.  Custom immunotherapy vaccine is being created for this case.\r\n  original r/o osteosarcoma, preliminary biopsy results show condrosarcoma\r\n  Female\r\n  Great Dane\r\n  Canine\r\n  Spayed","['tumor', 'tumor', 'osteosarcoma']",['immunotherapy vaccine'],,,,,,['Calcium deposits']
SL23-000034,Pulmonary histiocytic sarcoma with a new liver nodule (cytology sample).  Was treated with CCNU x3 with PD and then doxo x3 with PD.  Clinically doing well.\r\n  Histiocytic sarcoma\r\n  Male\r\n  Rottweiler\r\n  Canine\r\n  Neutered,['histiocytic sarcoma'],"['CCNU x3', 'PD', 'doxo x3', 'PD']",,,,,,
SL23-000035,presented to IM on 1/9 for coughing and weight loss. Multiple lung masses noted\r\n  suspect primary lung mass\r\n  Male\r\n  Shih Tzu\r\n  Canine\r\n  Neutered,,,['IM'],,,,,"['coughing', 'weight loss']"
SL23-000037,"Diagnosed with multiple masses throughout liver, spleen, mesentery and nodules throughout the lungs. Aspirates of liver and spleen consistent with malignant neoplasm\r\n  unknown, malignant neoplasm, carcinoma vs hemangiosarcoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['malignant neoplasm', 'carcinoma']",,,,,,,['Neutered']
